player,runs,balls_faced,fours,sixes,dismissals,matches,strike_rate,boundary_pct,avg,runs_conceded,legal_balls,wickets,dot_balls,overs,economy,dot_pct,batting_impact,bowling_impact,pii,role,fantasy_points
SO Hetmyer,314.0,221.0,21.0,21.0,7.0,15.0,142.08,19.0,44.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,208.024,40.0,140.81,All-Rounder,459.0
SP Jackson,23.0,26.0,0.0,1.0,4.0,5.0,88.46,3.85,5.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.238,40.0,38.94,Bowler,17.0
SP Narine,71.0,40.0,6.0,6.0,7.0,9.0,177.5,30.0,10.14,319.0,332.0,10.0,148.0,55.3,5.77,44.58,91.15,19.848409012131718,62.63,All-Rounder,407.0
SS Iyer,401.0,310.0,41.0,11.0,13.0,14.0,129.35,16.77,30.85,7.0,6.0,0.0,4.0,1.0,7.0,66.67,249.705,19.048285714285715,157.44,All-Rounder,568.0
SS Prabhudessai,67.0,62.0,7.0,2.0,5.0,5.0,108.06,14.52,13.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67.718,40.0,56.63,Bowler,76.0
SV Samson,458.0,321.0,43.0,26.0,16.0,17.0,142.68,21.5,28.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,285.604,40.0,187.36,All-Rounder,657.0
SW Billings,169.0,143.0,9.0,10.0,7.0,8.0,118.18,13.29,24.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,123.754,40.0,90.25,Bowler,224.0
Sandeep Sharma,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,156.0,118.0,3.0,66.0,19.7,7.93,55.93,0.0,17.430136191677175,6.97,Bowler,108.0
Shahbaz Ahmed,219.0,197.0,14.0,9.0,8.0,11.0,111.17,11.68,27.38,341.0,208.0,4.0,68.0,34.7,9.84,32.69,147.451,12.203040650406503,93.35,Batsman,433.0
Shashank Singh,69.0,47.0,5.0,4.0,4.0,5.0,146.81,19.15,17.25,20.0,12.0,0.0,2.0,2.0,10.0,16.67,80.343,7.3340000000000005,51.14,Batsman,83.0
Shivam Mavi,3.0,8.0,0.0,0.0,2.0,3.0,37.5,0.0,1.5,229.0,130.0,5.0,57.0,21.7,10.57,43.85,12.75,14.554295175023654,13.47,Batsman,152.5
Shubman Gill,483.0,374.0,51.0,11.0,15.0,16.0,129.14,16.58,32.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,292.642,40.0,191.59,All-Rounder,662.0
Simarjeet Singh,7.0,8.0,0.0,0.0,1.0,3.0,87.5,0.0,7.0,143.0,106.0,4.0,61.0,17.7,8.09,57.55,29.75,18.054375772558714,25.07,Batsman,135.5
T Natarajan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,410.0,254.0,20.0,96.0,42.3,9.69,37.8,0.0,19.68796697626419,7.88,Bowler,548.0
T Stubbs,2.0,4.0,0.0,0.0,1.0,2.0,50.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,40.0,25.6,Bowler,0.0
TA Boult,40.0,30.0,2.0,1.0,2.0,7.0,133.33,10.0,20.0,501.0,366.0,18.0,191.0,61.0,8.21,52.19,60.599000000000004,22.5101071863581,45.36,All-Rounder,585.5
TG Southee,2.0,12.0,0.0,0.0,4.0,5.0,16.67,0.0,0.5,284.0,201.0,16.0,103.0,33.5,8.48,51.24,6.001,21.36498113207547,12.15,Bowler,445.5
TH David,186.0,91.0,12.0,16.0,6.0,8.0,204.4,30.77,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,159.92,40.0,111.95,All-Rounder,258.0
